                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3029,                 3.4593,                  4.189,                0.00517,                0.31633,                0.00629,                0.00253,                      0,                    inf,                      0,                 0.0802,                 0.0022,                 0.0022
                      1,                 3.3195,                 3.2609,                  4.147,                0.00533,                0.32653,                0.00703,                0.00239,                      0,                    inf,                      0,               0.059436,              0.0044364,              0.0044364
                      2,                 3.3183,                 3.1509,                 4.0924,                0.00533,                0.32653,                0.00707,                0.00238,                      0,                    inf,                      0,               0.038608,              0.0066077,              0.0066077
                      3,                 3.3045,                 3.1388,                 4.0355,                0.00517,                0.31633,                0.01293,                0.00615,                      0,                    inf,                      0,               0.017714,              0.0087139,              0.0087139
                      4,                 3.3163,                 3.0637,                 3.9796,                0.00567,                0.34694,                0.00523,                0.00158,                      0,                    inf,                      0,              0.0094343,              0.0094343,              0.0094343
                      5,                 3.2759,                   3.04,                 3.9004,                0.00867,                0.53061,                0.01783,                0.00376,                      0,                    inf,                      0,              0.0094343,              0.0094343,              0.0094343
                      6,                 3.1701,                 3.0211,                 3.7742,                 0.0075,                0.45918,                0.00632,                0.00152,                      0,                    inf,                      0,              0.0092929,              0.0092929,              0.0092929
                      7,                 3.1009,                 2.9739,                  3.624,                0.01108,                0.64286,                0.02383,                0.00474,                      0,                    inf,                      0,              0.0091514,              0.0091514,              0.0091514
                      8,                 2.9577,                  2.931,                 3.4764,                 0.0075,                0.45918,                0.00863,                0.00233,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      9,                 2.8714,                 2.8786,                 3.3541,                 0.0105,                0.64286,                0.01625,                0.00465,                      0,                    inf,                      0,              0.0088686,              0.0088686,              0.0088686
                     10,                 2.8133,                 2.8467,                 3.2509,                0.01233,                 0.7551,                0.02577,                0.00586,                      0,                    inf,                      0,              0.0087271,              0.0087271,              0.0087271
                     11,                  2.693,                 2.8118,                 3.1666,                 0.0714,                0.07143,                0.03809,                0.00881,                      0,                    inf,                      0,              0.0085857,              0.0085857,              0.0085857
                     12,                 2.6082,                 2.7349,                  3.077,                0.03084,                0.29592,                0.02582,                0.00717,                      0,                    inf,                      0,              0.0084443,              0.0084443,              0.0084443
                     13,                 2.5369,                 2.6983,                 2.9885,                0.03345,                0.21429,                0.01903,                0.00513,                      0,                    inf,                      0,              0.0083029,              0.0083029,              0.0083029
                     14,                 2.4337,                 2.6381,                 2.9096,                0.03403,                0.12245,                0.02595,                0.00816,                      0,                    inf,                      0,              0.0081614,              0.0081614,              0.0081614
                     15,                 2.3241,                  2.579,                 2.8184,                0.06446,                0.10204,                0.03989,                0.01116,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     16,                 2.2714,                 2.5063,                 2.7633,                0.07392,                0.13265,                0.03347,                0.00946,                      0,                    inf,                      0,              0.0078786,              0.0078786,              0.0078786
                     17,                 2.2562,                 2.5227,                 2.7384,                0.04583,                0.12245,                0.02587,                0.00778,                      0,                    inf,                      0,              0.0077371,              0.0077371,              0.0077371
                     18,                 2.1619,                 2.5032,                 2.6872,                 0.0442,                0.14286,                0.03414,                0.01123,                      0,                    inf,                      0,              0.0075957,              0.0075957,              0.0075957
                     19,                 2.0939,                 2.4201,                 2.6105,                0.05896,                0.07143,                0.02412,                0.00732,                      0,                    inf,                      0,              0.0074543,              0.0074543,              0.0074543
                     20,                 2.0619,                 2.3787,                 2.5646,                0.13563,                0.18367,                0.08623,                0.02492,                      0,                    inf,                      0,              0.0073129,              0.0073129,              0.0073129
                     21,                 2.0022,                  2.355,                 2.5373,                0.05428,                0.14286,                0.03311,                0.00857,                      0,                    inf,                      0,              0.0071714,              0.0071714,              0.0071714
                     22,                 1.9943,                 2.3013,                  2.508,                0.11254,                0.10204,                0.05536,                0.01438,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     23,                 1.9576,                 2.2696,                 2.4596,                0.20191,                0.21429,                0.08274,                0.02277,                      0,                    inf,                      0,              0.0068886,              0.0068886,              0.0068886
                     24,                 1.9459,                 2.2742,                 2.4385,                0.23644,                0.18367,                0.11289,                0.03426,                      0,                    inf,                      0,              0.0067471,              0.0067471,              0.0067471
                     25,                 1.8817,                 2.2059,                 2.3847,                0.23265,                0.22449,                0.17192,                0.04763,                      0,                    inf,                      0,              0.0066057,              0.0066057,              0.0066057
                     26,                 1.8752,                 2.1989,                 2.3857,                0.27871,                0.26531,                0.16973,                0.05127,                      0,                    inf,                      0,              0.0064643,              0.0064643,              0.0064643
